subject	relation	object	time_step	date
Abdulaziz Kamilov	Discuss by telephone	Sergey Viktorovich Lavrov	5064	2018-07-31
Zimbabwe	Express intent to meet or negotiate	Italy	912	2018-02-08
Austria	Criticize or denounce	Citizen (Hungary)	240	2018-01-11
United States	Demand	Employee (Russia)	2112	2018-03-30
Rajya Sabha	Consult	Bharatiya Janata	1896	2018-03-21
Gavin Williamson	Make a visit	Foreign Affairs (United Kingdom)	1752	2018-03-15
Jean-Claude Juncker	Make statement	Germany	1128	2018-02-17
United States	Consider policy option	Venezuela	840	2018-02-05
Takeshi Onaga	Reject plan, agreement to settle dispute	Government (Japan)	5424	2018-08-15
James Mattis	Accuse	China	4248	2018-06-27
International Monetary Fund	Praise or endorse	Morocco	720	2018-01-31
Ministry (India)	Make statement	Maneka Gandhi	4632	2018-07-13
Foreign Affairs (South Korea)	Consult	Cabinet / Council of Ministers / Advisors (United States)	3240	2018-05-16
Crimea	Make statement	Russia	288	2018-01-13
Mirza Fakhrul Islam Alamgir	Make statement	Sheikh Hasina Wajed	264	2018-01-12
Court Judge (India)	Make statement	Pete Wilson	768	2018-02-02
Zimbabwe	Host a visit	Achim Steiner	1728	2018-03-14
Fighter Bomber (Israel)	Use conventional military force	Hamas	1824	2018-03-18
Member of Legislative (Govt) (Lithuania)	Make statement	Dalia Grybauskaitė	3912	2018-06-13
Media (India)	Consult	Police (India)	4728	2018-07-17
Non-Governmental Organizations	Make statement	Israel	240	2018-01-11
Bharatiya Janata	Demonstrate or rally	Amarinder Singh	4392	2018-07-03
Attacker (Tanzania)	Make an appeal or request	Police (Tanzania)	1584	2018-03-08
Police (India)	Impose administrative sanctions	Citizen (India)	5136	2018-08-03
Mike Pompeo	Consult	Imran Khan	5640	2018-08-24
Akinwumi Adesina	Make a visit	Togo	4248	2018-06-27
Dalia Grybauskaitė	Make statement	Russia	3216	2018-05-15
China	Consult	Kyrgyzstan	1728	2018-03-14
Member of the Judiciary (India)	Coerce	Employee (India)	3432	2018-05-24
Industrial / Textiles / Mining Ministry (India)	Make statement	Government (India)	4608	2018-07-12
Men (Egypt)	Use unconventional violence	Company - Owner or Operator (Egypt)	2160	2018-04-01
Goh Chok Tong	Make optimistic comment	Citizen (Singapore)	72	2018-01-04
UN Security Council	Make a visit	Syria	1272	2018-02-23
M.K. Stalin	Make a visit	Governor (India)	5616	2018-08-23
Citizen (India)	Demonstrate or rally	Unspecified Actor	3240	2018-05-16
Lawmaker (Nigeria)	Consult	Ibrahim Idris	2592	2018-04-19
Citizen (Israel)	Use unconventional violence	Protester (Palestinian Territory, Occupied)	2160	2018-04-01
Militia (Sudan)	Abduct, hijack, or take hostage	Citizen (Sudan)	1248	2018-02-22
Alexander Van der Bellen	Make a visit	Ukraine	1704	2018-03-13
Member of the Judiciary (Singapore)	Demand	Citizen (Singapore)	2568	2018-04-18
Lawyer/Attorney (Australia)	Make statement	City Mayor (Australia)	840	2018-02-05
Kim Daejung	Make a visit	Japan	768	2018-02-02
Julie Bishop	Make statement	Moon Jae-in	2880	2018-05-01
China	Reject	Department of Defense	792	2018-02-03
Court Judge (France)	Arrest, detain, or charge with legal action	Laurent Gbagbo	2712	2018-04-24
United States	Host a visit	Mohammad Javad Zarif	2616	2018-04-20
Citizen (United Kingdom)	Make an appeal or request	Sadiq Khan	4752	2018-07-18
Malcolm Bligh Turnbull	Engage in diplomatic cooperation	International	2064	2018-03-28
Police (Poland)	Engage in material cooperation	Police (Germany)	384	2018-01-17
Labor and Employment Ministry (Thailand)	Express intent to meet or negotiate	Cabinet / Council of Ministers / Advisors (Thailand)	3528	2018-05-28
Kim Jong-Un	Consult	Donald Trump	4176	2018-06-24
Student (India)	Accuse	Citizen (India)	1008	2018-02-12
Student (Nigeria)	Make statement	Nigeria	2880	2018-05-01
Criminal (Zimbabwe)	Accuse	Citizen (Zimbabwe)	672	2018-01-29
Armed Gang (United States)	fight with small arms and light weapons	Afghanistan	4296	2018-06-29
Cameroon People's Democratic Movement	Arrest, detain, or charge with legal action	Senate (Cameroon)	2280	2018-04-06
Xi Jinping	Express intent to engage in diplomatic cooperation (such as policy support)	Recep Tayyip Erdoğan	4944	2018-07-26
Amit Shah	Make a visit	India	4872	2018-07-23
Emmanuel Macron	Make optimistic comment	United States	2736	2018-04-25
Ministry (Ghana)	Make statement	Ghana Cocoa Board	4536	2018-07-09
Militant (Russia)	fight with small arms and light weapons	Russia	1536	2018-03-06
High Ranking Military Personnel (Lebanon)	Make empathetic comment	Citizen (Lebanon)	5688	2018-08-26
Police (China)	Demand diplomatic cooperation (such as policy support)	Lawyer/Attorney (China)	576	2018-01-25
Government (Myanmar)	Make statement	Police (Myanmar)	408	2018-01-18
Theresa May	Criticize or denounce	Muslim (United Kingdom)	5256	2018-08-08
Turkey	Express intent to cooperate militarily	Iraq	1776	2018-03-16
Scientist (Brazil)	Consult	Raul Jungmann	2256	2018-04-05
Jean-Yves Le Drian	Make statement	Austria	672	2018-01-29
Turkey	Cooperate militarily	Armed Rebel (Syria)	1824	2018-03-18
Liviu Dragnea	Accuse	Victor Ponta	840	2018-02-05
Aam Aadmi Party	Express intent to meet or negotiate	Citizen (India)	2880	2018-05-01
Canada	Consult	Mexico	2160	2018-04-01
Head of Government (Brazil)	Demand	Citizen (Brazil)	3456	2018-05-25
Ri Yong-ho	Engage in negotiation	Donald Trump	5016	2018-07-29
Cuba	Host a visit	Vietnam	2760	2018-04-26
Human Rights Group (Italy)	Make statement	Extremist (Italy)	1296	2018-02-24
Organization for the Prohibition of Chemical Weapons	Sign formal agreement	Israel	2784	2018-04-27
Police (India)	Arrest, detain, or charge with legal action	Citizen (India)	2712	2018-04-24
Citizen (Austria)	fight with small arms and light weapons	Attacker (Austria)	1656	2018-03-11
Military Personnel - Special (Somalia)	Use conventional military force	Militant (Al-Shabaab)	5352	2018-08-12
Narendra Modi	Consult	Ram Paswan	2064	2018-03-28
Xi Jinping	Express intent to engage in diplomatic cooperation (such as policy support)	Citizen (Iraq)	5664	2018-08-25
Argentina	Host a visit	James Mattis	5472	2018-08-17
Mohamad Sabu	Consult	Foreign Affairs (United States)	5136	2018-08-03
